,item,n_steps
93893,289770,3
94000,298476,1
94071,224916,4
94320,238973,5
94343,279468,4
94709,48777,4
94718,470862,16
94829,372782,3
94831,365144,2
94838,235017,2
94839,364106,3
94840,58301,14
94853,373358,5
94870,61867,3
95779,245988,6
95788,343226,1
95805,433278,10
95843,43942,7
95859,144298,2
95864,315406,4
95878,451498,4
95886,473078,6
95887,381897,4
95889,218825,4
95895,101022,3
95897,432456,11
95903,301584,1
95914,473533,4
95926,457394,2
95927,55088,3
95928,128993,3
95944,53772,4
96138,40846,1
96155,304851,3
96339,423963,3
96366,304681,2
96367,306178,2
96541,14225,2
96551,171496,1
96570,429288,2
96675,304651,2
96761,171692,2
96891,171497,1
97035,61857,10
97040,219927,3
97041,118563,16
97042,114396,3
97436,115415,4
97442,213066,5
97623,46107,1
97624,254932,2
97635,139306,3
97644,180755,4
97647,267544,3
97691,251809,3
97706,116132,4
97707,468988,2
97726,40675,5
97728,260188,4
97899,247903,5
97901,377995,3
97920,313946,4
97935,64464,12
97936,367563,7
98057,329694,9
98058,129960,7
98070,104738,2
98071,184751,6
100316,262974,4
100345,171706,3
100347,346397,2
100349,265452,2
100575,140590,4
100593,325012,4
100725,171863,6
100746,363614,9
100762,74104,2
100768,291958,2
100770,166675,7
100778,202105,13
100940,199303,3
100961,291136,3
100965,364055,1
101062,272674,3
101094,89275,7
101131,176609,3
101225,360543,5
101253,252597,4
101281,407280,15
102196,429559,2
102200,275604,1
102206,457812,1
102253,260608,1
102258,341122,3
102293,299887,3
102296,425218,1
102297,15894,4
102310,351098,3
102321,41303,7
102323,199299,3
102398,303739,3
102417,443197,23
102431,57476,2
102494,280581,2
102551,8867,3
102663,373775,3
102679,369284,5
102682,334095,2
102683,504664,2
102684,335566,1
102685,98203,3
102686,447488,2
102755,242901,2
102798,254185,5
102841,459235,1
102858,455118,2
102861,34064,9
102901,291718,3
102917,286056,2
102943,298644,1
102945,386347,6
103054,46288,14
103057,189601,1
104347,444837,4
104355,245510,5
104526,317096,3
104653,133650,2
104654,232119,3
104660,209243,3
104661,327485,2
104977,130111,12
105525,373624,7
105536,188159,3
105541,370537,7
105542,417846,4
105694,117483,2
105709,334482,2
105731,214098,16
105944,262409,3
105948,202648,2
105949,330156,3
106001,268954,5
106010,44309,9
106013,345886,4
106054,452032,3
106083,96868,5
106106,51265,3
106136,329960,4
106143,335828,5
106202,277137,2
106290,220650,4
106304,235381,3
106317,236257,6
106318,445432,3
106482,382908,2
106493,183432,10
106515,65257,8
106549,172384,4
106563,291571,12
106589,191348,10
106648,12325,3
106649,30974,11
106656,71980,6
106668,401460,14
106831,197977,9
106916,450588,2
106929,118600,16
107365,436795,7
107463,141333,3
107784,56127,4
107980,128717,8
108174,143265,2
108175,30702,2
108180,189704,6
108228,253723,3
108243,320265,3
108246,427269,4
108247,298294,4
108249,122990,5
108250,456273,3
108252,310583,15
108282,334096,1
108284,50807,2
108334,322972,3
108439,213531,5
108445,221629,3
108583,152984,10
108584,200697,5
108586,329172,3
108592,242025,4
108630,299785,3
108657,180199,3
108669,77800,6
108672,458189,4
108673,347355,13
108674,320794,14
108680,108567,5
108683,78833,5
108685,148864,9
108690,469723,4
108691,74070,3
108696,186380,7
108788,82221,7
108794,278918,2
108799,271115,3
108807,76304,8
108818,186204,3
108831,99123,6
109084,188628,6
109096,46186,1
109098,211253,6
109159,171287,5
109179,294579,3
109180,347777,4
109183,154456,9
109262,424865,2
109270,85012,5
109307,431784,8
109334,46545,8
109340,310719,3
109365,334957,9
109407,485536,3
109428,55093,4
109429,162235,3
109432,13642,9
109436,351232,2
109439,272914,5
109463,51784,8
109503,291782,3
109522,238942,2
109650,327109,3
109651,272670,3
109652,278048,2
109653,278049,2
109654,453390,6
109655,349647,2
109656,382875,2
109657,276593,1
109673,221546,2
109690,39116,1
109753,488561,7
109789,368121,4
110045,433796,4
110050,433215,4
110102,86655,5
110104,495408,1
110106,27887,2
110109,135741,2
110155,330870,6
110156,278036,2
110205,179385,6
110207,161976,4
110212,32818,2
110217,261355,2
110235,280793,2
110236,348817,2
110266,95511,4
110275,331271,18
110305,320563,4
110322,273102,2
110323,264072,2
110324,19089,4
110356,213481,4
110362,386109,3
110430,319982,3
110444,401913,4
110457,96572,2
110484,139587,8
110492,154194,3
110509,171835,4
110516,216028,3
110527,172463,15
110563,152662,6
110616,199314,4
110617,253667,5
110897,451071,3
111156,263987,10
111439,172527,6
111653,72956,2
111654,364344,3
111655,379437,1
111656,258839,2
111770,45629,4
111783,407705,8
111795,77324,3
111800,351516,1
111827,31085,10
111834,293079,8
111843,83498,3
111844,215522,3
111849,216594,3
111850,56220,3
111866,379855,3
111876,215721,4
111877,290151,3
111887,362953,6
111888,215699,2
111892,15895,2
111905,213191,3
111928,215870,2
111930,217400,3
111931,290445,2
111963,378218,2
111968,85641,6
111973,330864,4
111982,469158,1
112011,341159,2
112042,467697,4
112044,263764,3
112046,231301,2
112050,461521,2
112065,335437,2
112067,40725,6
112071,151626,3
112072,309526,1
112077,534270,18
112083,30060,2
112085,28715,1
112093,166948,2
112094,95138,3
112120,227126,2
112132,271411,3
112134,342031,7
112222,170960,1
112233,374444,2
112411,270330,6
112515,306110,2
112516,457081,2
113120,171865,3
113150,248089,3
113184,264935,1
113291,456995,3
113292,171867,2
113380,318574,1
113538,345806,2
113556,485159,1
113562,313090,2
113563,328129,3
113570,294526,1
113653,334100,2
113656,254398,3
113658,121884,3
113663,258560,3
113667,257442,4
113679,493717,3
113697,114227,12
113911,475250,3
113933,199311,4
113981,185477,2
113986,58010,2
113987,232772,4
113990,507750,3
113997,239442,3
114014,34928,2
114015,66502,2
114032,44545,4
114036,232823,1
114038,280636,4
114042,87701,2
114045,105801,7
114058,284442,3
114099,373221,4
114120,156004,4
114123,43624,3
114182,135636,2
114198,422544,1
114348,97693,9
114485,243106,4
114550,522939,8
114600,177955,7
114644,387932,3
114682,215444,4
114762,424708,5
114818,294532,6
114860,29557,5
114872,284306,4
114909,250765,3
114925,482425,4
114950,173245,8
115055,432065,5
115060,33207,4
115061,387614,11
115221,412102,5
115281,268413,6
115366,63677,3
115511,248635,2
115539,442176,4
115540,218396,3
115542,368228,4
115694,340955,6
115729,61625,1
115895,258874,1
115897,269392,2
115898,428490,2
115906,429202,2
115909,149508,5
115914,455558,1
115919,128186,5
115927,440645,7
115973,179495,2
115980,252232,5
116004,91495,3
116053,282958,13
116098,214824,4
116140,200469,5
116141,280036,4
116142,402474,3
116143,403067,2
116145,402489,6
116147,403126,2
116148,238867,3
116150,239812,4
116151,238865,3
116169,99646,2
116171,272463,4
116175,312423,8
116193,319670,1
116196,256241,9
116201,239876,4
116206,227166,2
116207,438853,3
116208,227101,1
116210,372901,3
116220,270645,2
116224,54583,3
116225,134796,2
116229,223648,2
116231,346308,4
116232,358496,4
116236,70644,1
116241,88604,2
116251,402958,2
116252,94620,3
116258,170910,4
116259,78921,3
116261,293261,4
116282,532734,2
116401,30342,1
116403,451462,6
116404,382797,3
116423,8875,1
116627,207294,3
116636,176535,3
116719,233732,5
116738,223750,3
116741,457809,2
116985,32766,8
117037,216941,4
117038,330091,4
117063,119735,2
117167,320615,2
117181,309268,5
117184,65931,4
117186,303717,2
117333,256623,11
117400,335992,4
117427,14103,9
117488,168412,5
117676,180470,3
117677,342344,10
117689,86452,2
117705,294828,3
117706,133363,1
117726,483973,2
117778,321345,4
117823,103322,4
117828,367596,3
117829,427237,1
117858,349760,2
117863,389811,2
117869,129524,3
117870,143278,2
117871,46821,2
117886,203716,4
117898,15438,3
118335,161971,3
118349,396515,7
118354,125458,4
118358,370431,3
118362,68882,4
118372,215229,2
118374,215640,6
118375,140035,5
118376,164049,3
118405,263116,4
118407,371056,5
118412,470687,3
118459,194977,5
118463,29609,5
118492,393061,6
118545,306127,10
118556,271827,7
118601,436863,2
118970,250770,4
118977,456275,7
118978,190152,6
119031,210587,11
119065,250766,3
119066,392800,3
119114,253289,3
119128,283458,4
119143,459189,2
119194,328189,4
119220,322079,4
119222,469617,1
119224,243102,3
119232,284564,2
119245,320802,1
119258,423593,3
119592,273105,6
119684,28881,4
119688,240125,2
119692,503897,3
119799,93986,2
119823,359366,3
119832,288055,1
119841,64596,2
119929,166058,5
119932,432704,9
119948,384077,3
119957,385819,3
119979,367483,9
119983,252915,9
119984,162826,9
119998,385609,5
120365,270295,3
120385,372934,1
120426,475007,5
120549,309585,3
120853,290115,1
120953,304911,12
121008,92073,3
121014,332256,4
121037,246275,5
121080,483325,2
121212,340431,4
121217,31591,3
121358,280616,5
121432,212118,6
121506,128927,5
121508,116298,5
121559,94863,12
121561,112330,3
121562,383915,2
121564,54448,4
121565,88364,4
121568,303738,1
121569,320671,5
121582,59742,4
121584,13346,6
121596,258325,2
121664,309664,5
121881,163325,4
122300,361989,12
122394,172972,4
122412,312388,4
122420,471040,9
122625,301853,8
122736,68906,10
122741,308796,7
122744,327490,6
122769,484107,5
122796,328621,11
122799,311311,3
122807,87613,11
122820,379363,3
122832,527696,14
122847,318512,1
123331,265877,4
123481,279304,2
123482,383823,1
123488,216589,4
123490,110030,3
123993,93339,3
124025,383146,4
124101,254488,2
124190,423603,3
124222,46190,1
124223,319393,4
124276,256233,4
124322,199925,15
124336,473508,3
124342,328490,6
124343,209839,2
124344,34848,4
124346,252154,2
124347,369597,4
124348,318576,5
124350,528393,8
124351,93851,17
124352,167289,9
124353,13264,11
124359,321090,2
124361,121433,10
124364,300047,14
124366,111361,6
124371,301042,3
124373,322606,2
124375,318516,2
124382,318482,2
124419,188313,2
124859,176774,7
124864,268875,1
124872,279078,1
124874,262717,4
124875,247895,2
124878,173249,13
124974,123552,3
124992,119111,2
125033,308061,2
125036,347157,2
125065,474285,4
125093,228449,3
125132,485413,4
125223,218796,6
125228,80106,6
125411,193230,6
125445,429561,2
125447,429562,2
125468,305667,4
125469,450575,3
125474,320256,5
125475,176776,2
125476,423038,4
125477,346770,3
125478,15813,6
125479,312347,5
125480,40131,5
125481,33145,4
125487,250009,3
125577,72866,14
125644,310390,2
125716,156852,3
125721,233696,3
125746,356089,2
125749,306653,2
125760,323108,1
125766,261289,3
125794,159845,9
126069,119670,5
126075,195685,5
126224,92570,1
127445,163247,3
127457,57684,3
127576,349952,5
127637,150729,4
127638,81161,9
127645,403280,3
127646,150111,2
127655,244201,5
127659,455088,3
127663,100344,3
127664,218933,4
127666,164236,5
127668,148504,6
127669,270810,2
127816,229898,4
127939,33907,2
128176,164259,2
128246,329635,1
128258,185518,3
128314,393558,3
128341,253661,3
128458,469798,4
128484,325916,4
128507,285084,5
128526,54910,2
128531,457699,2
128535,258617,4
128570,8874,2
128572,94338,5
128722,205834,3
128866,202914,3
128901,424294,5
128905,304652,4
128906,275351,2
128907,304839,1
128908,248606,2
128909,293757,3
128912,258994,1
128913,227926,4
128915,251222,2
128916,295920,3
128917,326404,1
128918,219375,1
128921,114158,6
128922,248610,3
128923,404877,5
128986,421149,3
129249,139129,3
129274,472931,4
129277,379824,4
129368,375148,3
129389,315651,3
129447,373691,4
129455,315839,4
129506,86969,2
129508,379915,4
129509,108276,2
129529,289786,5
129532,413544,2
129546,303968,6
129561,379883,6
129599,350792,4
129603,343105,1
129606,479707,5
129610,54360,6
129613,162785,5
129619,459378,1
129655,377954,3
129665,62607,3
129673,517500,2
129677,172000,6
129678,93874,4
129688,312860,4
129716,167218,5
129729,368115,4
129759,31838,3
129761,281053,3
129762,8877,2
129805,133187,3
129808,459762,6
130073,335249,4
130521,282166,3
130522,282170,4
130553,8863,2
130555,166758,3
130556,225979,6
130571,430906,6
130580,433261,10
130581,169872,6
130583,331950,6
130585,460133,5
130587,438767,4
130593,164468,5
130614,99141,4
130618,217358,4
130622,245309,2
130662,283393,4
131150,231026,1
131196,504710,8
131218,186261,6
131500,373228,5
131518,236433,11
131525,162940,23
131528,238626,2
131530,290979,6
131532,116784,5
131539,223066,3
131741,533130,3
132011,280085,2
132042,117624,4
132079,100567,9
132119,179351,7
132124,373262,5
132299,429563,1
132385,336616,11
133050,272286,3
133229,123820,2
133408,323124,1
133409,68617,4
133413,368891,7
133430,277390,3
133431,230770,5
133439,68853,2
133443,292292,1
133450,225983,4
133452,57820,5
133463,347477,3
133475,263988,2
133478,227220,6
133480,182337,7
133635,383011,3
133660,147332,3
133742,75885,4
133750,145220,3
133752,203157,6
133766,93756,2
133785,153549,3
133800,66503,4
133955,46490,4
134196,209715,3
134277,401923,2
134362,464681,5
134368,290061,3
134408,31916,4
134432,339035,2
134441,448800,5
134741,484387,2
134877,335570,1
134882,170966,4
134897,347238,7
134921,232903,3
134923,231262,7
134930,89967,1
134931,157973,8
134959,30428,7
134962,247721,3
135432,46097,1
135435,254923,3
135438,175181,3
135440,275202,1
135443,202941,2
135444,297740,3
135445,300680,1
135446,277495,2
135447,410606,3
135448,204913,3
135449,425199,1
135450,228817,1
135452,383824,2
135453,56213,1
135454,178156,5
135455,193601,4
135456,373158,5
135457,56210,1
135458,204915,3
135460,225551,5
135461,243093,3
135462,93873,2
135463,68619,1
135466,226456,3
135542,266559,3
135544,267554,3
135545,267604,3
135547,266501,3
135566,267726,3
135615,95625,8
135658,471542,5
135730,275547,8
135742,286474,3
135746,93704,4
135753,161807,4
135807,151064,2
135894,130980,3
135900,175435,6
135901,30029,4
135902,104271,11
135904,269767,5
135969,133347,6
135970,269801,3
136505,269280,3
136529,457814,4
136565,185827,7
136566,128779,12
136570,527299,8
136571,167807,3
136573,454839,5
136577,249706,3
136654,66952,7
136655,254567,8
136681,320846,3
136682,179483,2
136746,222991,3
136852,431662,4
136869,311481,5
136905,196804,2
136906,342922,3
136908,181212,3
137176,181133,3
137193,286525,2
137242,427192,2
137267,176733,6
137346,320500,2
137361,276098,7
137368,173488,3
137404,12011,4
137472,55163,2
137473,58373,8
137495,48814,3
137511,47526,2
137721,369847,11
137722,269483,6
137723,49310,5
137728,236489,1
137731,66755,6
137732,166112,5
137736,60510,4
137739,93741,4
137740,166111,8
137741,325918,3
137744,118260,15
137745,302109,9
137749,289591,7
137913,226606,5
138002,355329,4
138423,356449,4
138727,245626,6
138818,429565,3
138865,43622,1
138866,403742,3
138884,456021,3
138920,252358,4
138923,497110,5
138924,475261,4
138983,173889,4
138994,323343,3
139010,424478,2
139044,322623,1
139658,377198,4
139668,396000,1
139670,269750,2
139672,306714,1
139739,32827,3
139800,305014,2
139806,348823,1
139876,31693,5
139996,355051,2
140006,113625,5
140027,277266,1
140239,133939,5
140245,213147,3
140249,67680,2
140264,480484,10
140270,94459,3
140271,28381,3
140274,310711,4
140276,486468,4
140277,119694,3
140388,321182,5
140398,76366,6
140407,321173,3
140472,450984,5
141417,454533,1
141481,94951,6
141502,328924,26
141514,246035,1
141628,237334,6
141945,53706,2
142059,13377,9
142316,245508,6
142317,118368,4
142380,347629,4
142381,346566,5
142537,163847,3
142619,370585,6
142800,268952,3
142809,123907,1
142813,8871,5
142831,60212,6
142841,91309,4
142905,406217,3
142907,184329,3
142992,258615,3
142993,149649,2
143061,319227,4
143073,88307,1
143127,270687,3
143234,68026,4
143237,116195,3
143305,95665,4
143395,259779,3
143535,169027,8
143536,169028,9
143731,170783,8
143828,397123,3
143913,252237,4
143915,49265,5
143946,175183,4
144001,266779,4
144384,232824,1
144411,29570,3
144736,237738,3
144738,251226,4
144762,364400,4
144763,274548,2
144766,198616,2
144770,49307,5
144771,137568,6
144777,82524,1
144778,82525,1
144789,182862,4
144795,163174,8
144798,216808,6
144799,279801,3
144800,370788,3
144953,293334,3
144986,260237,2
145113,329032,4
145242,32470,3
145439,425482,3
145442,278487,4
145530,286478,2
145531,138725,3
145533,146213,3
145660,133701,1
145664,15616,3
145666,258407,2
145692,185480,3
145696,213529,3
145721,323109,3
145752,257005,3
145753,322532,2
145793,275011,2
145795,184346,3
145797,186129,2
145803,332766,3
145808,189602,1
145911,215314,8
146178,190430,3
146184,219705,8
146505,259451,3
146514,366874,2
146515,320268,3
146571,149514,3
146662,327296,3
146752,322233,2
146761,268717,2
146762,185579,6
146866,326374,3
147062,414739,7
147242,48276,2
147268,77793,9
147495,374168,4
147517,394070,7
147528,320399,3
147529,374208,2
147643,485657,2
147809,148635,2
147813,219520,2
147814,212298,6
147835,32826,1
148376,291518,6
148511,167884,3
148513,146320,2
148648,252143,7
148673,250667,6
148679,302918,6
148690,272300,2
148694,277994,3
148709,229172,4
148748,63241,5
148806,42432,2
148833,143563,16
148836,373197,3
148840,271490,4
148851,469232,7
148874,286330,2
148881,227345,5
148910,348292,3
148959,105939,3
149084,164333,2
149109,507757,2
149124,144918,9
149129,72203,9
149140,347329,1
149146,166537,8
149171,250286,4
149174,236490,2
149289,171342,6
149359,223824,2
149376,132593,2
149390,307319,8
149410,241637,2
149419,332250,4
149453,270483,3
149480,244564,8
149481,211539,8
149496,55993,4
149553,59542,4
149565,59068,6
149617,48342,6
149745,94154,7
149752,252450,8
149947,326108,4
149948,161973,2
149952,166333,14
149985,221876,2
150185,149749,6
150201,253664,3
150214,263566,4
150463,255816,5
150533,55903,4
150598,424148,3
150599,169948,3
151434,157691,3
151435,221203,5
151510,253512,2
151529,217999,3
151530,235174,2
151560,324862,1
151564,253070,3
151566,478262,4
151606,115197,5
151616,527487,8
151687,97920,2
151694,35031,2
151696,149843,3
151767,278897,2
151770,306880,2
151786,450348,4
151787,420792,5
151817,348151,3
151818,349759,4
151819,347992,4
151820,286679,4
151821,286998,1
151878,264639,6
152194,93606,2
152270,43197,1
152460,70831,7
152497,373199,3
152687,371307,2
152694,377167,4
152704,227085,4
152724,222628,2
152727,282738,4
153319,289640,4
153419,373046,3
153421,421227,4
153422,455532,3
153423,325280,3
153427,372141,4
153428,66869,3
153436,40676,6
153437,25693,3
153439,388193,3
154490,252241,4
154504,430397,2
154505,430398,4
154567,189722,7
154713,271549,5
154741,318759,3
154821,173555,5
154950,92004,14
154962,230643,3
154996,214825,8
154998,369931,4
155019,299412,5
155028,56773,9
155044,98912,9
155049,322880,10
155079,324288,3
155107,179958,5
155128,329204,4
155148,280680,4
155149,104180,3
155174,93870,3
155176,58750,1
155183,250196,4
155185,353065,4
155206,147143,5
155230,501171,7
155243,164177,4
155244,513093,6
155254,45675,1
155283,56272,4
155286,456884,2
155295,271316,3
155299,42670,5
155307,271854,4
155321,369079,1
155329,221194,4
155340,58594,4
155368,305520,7
155373,258580,8
155423,134484,4
155433,15379,8
155446,291601,3
155448,391956,2
155449,244578,5
155471,384779,3
155493,228816,1
155496,135442,6
155520,69142,8
155530,18215,2
155535,58945,2
155540,136422,3
155980,220304,2
156414,328104,2
156546,337005,3
156575,260293,3
156586,254487,2
156596,441070,3
156608,260505,7
156614,320377,3
156665,350062,6
156691,352953,3
156731,167578,2
156757,249513,1
156791,213616,4
157252,178445,3
157594,312178,2
157596,250778,2
157910,77795,5
157911,262900,6
157916,184200,2
157939,107249,7
157955,61912,6
157961,56516,7
157962,146259,2
157963,144941,6
157965,291493,6
158354,100269,5
158368,178148,4
158395,231854,2
158595,134186,3
158749,243479,3
159021,294524,1
159049,288082,3
159074,62157,6
159216,27199,2
159218,237736,3
159436,277777,18
159581,293467,1
159587,247473,3
159714,343465,2
159776,425201,3
159778,123666,7
159780,59231,7
159782,116965,6
159789,245389,4
159807,128252,3
159809,455495,2
159813,7859,2
159816,307041,3
159817,347144,2
159840,128192,6
159841,234519,3
159856,237481,4
159858,322980,14
159870,480551,12
159946,37791,10
159982,303241,6
159984,93985,2
159995,172700,2
160022,432142,6
160063,366865,8
160068,244344,8
160130,505619,3
160155,281119,4
160172,329774,4
160176,304061,17
160186,330609,4
160226,370031,4
160236,418046,2
160245,35486,4
160250,192007,2
160253,292834,2
160256,60115,8
160260,250673,5
160299,27568,11
160303,412552,8
160387,48530,2
160397,284840,5
160416,269613,4
160445,462167,6
160446,270211,2
160458,82265,6
160462,216034,3
160467,314282,5
160478,178002,2
160479,239911,2
160508,72062,1
160528,387965,1
160565,422556,5
160577,343756,2
160598,363047,9
160615,157526,7
160616,90298,3
160617,328203,2
160627,345053,6
160638,52321,2
160640,196531,12
160641,422491,5
160642,379537,5
160647,262317,4
160649,94928,2
160650,108631,7
160651,465206,1
160657,128331,3
160658,391882,1
160663,442328,7
160667,63769,8
160668,384476,3
160670,305025,1
160672,342758,5
160674,8440,2
160683,239761,3
160691,164739,3
160697,378041,1
160701,322795,5
160704,320501,3
160705,250822,4
160707,272560,4
160712,354590,6
160716,143220,4
160717,180148,2
160718,344158,5
160719,429052,2
160723,248554,2
160736,59091,3
160743,465208,2
160745,359496,2
160746,465211,3
160752,242099,2
160753,61503,4
160756,465219,7
160757,305385,3
160761,271323,3
160764,422225,3
160765,54765,4
160766,317142,3
160768,223668,1
160772,308145,4
160777,391943,3
160778,367927,6
160780,177603,6
160785,393306,4
160791,327232,4
160924,359506,1
160932,197484,3
160947,308854,3
160974,245515,4
161120,40778,5
161511,80878,2
161523,230839,3
161549,18259,3
161551,327438,1
161556,371787,4
161557,94124,2
161658,72637,2
161673,425678,2
161674,272755,4
161693,365403,4
161854,33913,2
161855,79189,3
161857,338179,5
161859,200740,3
161862,265679,8
161863,511085,8
161868,161518,3
161871,214317,2
161885,106944,4
161886,334809,3
161969,535233,11
162015,164253,4
162258,202547,2
162259,287388,3
162260,195596,6
162265,122452,3
162272,202922,10
162274,285731,3
162280,343749,12
162283,294569,5
162290,269816,2
162292,471023,3
162293,346428,6
162298,406227,4
162300,301489,8
162301,83459,3
162302,330085,7
162303,367560,4
162304,440307,3
162305,269785,3
162307,263304,4
162316,194202,4
162323,353817,4
162324,106765,3
162325,319955,6
162326,454535,1
162327,148691,3
162329,166017,11
162348,332261,5
162375,237475,4
162381,353387,2
162402,338637,4
162404,353588,6
162407,253302,7
162435,236337,3
162436,457487,3
162437,390812,11
162603,68501,6
163938,465032,3
164225,94909,6
165374,75437,1
165380,244939,3
165414,169303,8
165553,57390,4
165637,221196,4
165754,349395,1
165899,258651,3
165907,228362,4
165978,104498,2
165980,420634,9
165981,52694,9
165982,322995,4
166081,329634,1
166096,342796,2
166097,340203,4
166098,340206,3
166099,340204,3
166192,255860,4
166193,226113,6
166400,246664,3
166416,166586,21
166418,345528,1
166423,268330,3
166434,300805,1
166442,373079,1
166446,246849,4
167126,462909,4
167127,197178,6
167272,449283,10
167276,134983,5
167279,513212,9
167492,251512,2
167688,3450,5
167689,456642,8
167728,481351,6
167759,379190,10
167772,189562,3
167774,483263,2
167775,178637,4
167777,172111,2
167782,353586,3
167795,228565,2
167796,480284,5
167797,457386,2
167803,251288,2
167811,375349,3
167812,317190,3
167813,291650,5
167816,334702,4
167818,458148,6
167889,277152,9
167923,130078,2
167930,383826,3
167932,105887,6
169021,230414,6
169059,289875,2
169605,348747,5
169806,282492,10
169888,122032,8
169911,91182,4
170060,91829,2
170191,11414,2
170267,107177,7
170359,16310,7
170417,493320,11
170646,358492,1
170654,423165,5
170695,223478,2
170699,178223,4
170714,131068,5
170771,311742,4
170780,322111,3
170798,93331,3
170802,237843,1
170830,237233,6
170863,338511,2
170904,183189,4
170916,268073,2
170969,94997,3
170970,177402,1
170989,365438,11
170997,390147,3
171001,357137,6
171006,129985,5
171015,248480,2
171022,433378,5
171079,368060,8
171083,365205,3
171148,65785,6
171196,321531,5
171298,315364,3
171308,151275,4
171448,103737,4
171490,74103,6
171501,227103,2
171502,270487,2
171503,240253,6
171504,166020,3
171516,482190,3
171518,321267,3
171536,174763,4
171607,227048,7
171668,457294,3
171826,58014,2
171830,214753,3
171948,180050,4
171991,179041,9
172030,244952,4
172039,382429,3
172043,517692,6
172047,320238,4
172048,281336,7
172144,425094,4
172180,73258,4
172197,219015,4
172223,480872,20
172342,175307,8
172345,18611,3
172349,276389,1
172351,122439,3
172473,34181,4
172510,277124,1
172536,242165,3
172574,176146,21
172579,335168,3
172637,224745,6
172697,118740,4
172750,227359,6
172755,35477,3
172782,66947,5
172788,219014,5
172791,228635,2
172803,36536,4
172807,320833,5
172910,199607,3
172914,229984,2
172965,115300,2
173024,60549,3
173025,355052,3
173035,81421,2
173036,81423,7
173144,235169,3
173149,250168,3
173159,171513,3
173323,373699,10
173347,329210,2
173358,13315,6
173379,175148,3
173380,380564,11
173381,504576,3
173867,76546,5
173975,61358,4
174096,311025,9
174337,157584,1
174490,54378,4
174493,182119,3
174546,335442,1
174572,255278,3
174579,432653,2
175336,241558,3
175779,291263,4
176302,213195,3
176496,72348,2
176654,350616,2
176934,423401,5
176953,357220,1
176954,357218,3
176978,329230,4
176979,90821,4
177048,370206,4
177062,430354,2
177087,307702,2
177112,88431,13
177118,255819,5
177249,217448,9
177259,421488,4
177404,467700,3
177448,254774,5
177450,381666,4
177458,147488,8
177459,517982,2
177483,118370,4
177639,369772,2
177644,235374,1
177647,135638,1
177659,330974,4
177666,23098,6
177709,320509,1
177712,69934,6
177718,219718,8
177719,286409,6
177720,416893,3
177722,357100,6
177725,34121,4
177726,194124,9
177748,254825,3
177749,149211,4
177781,72979,5
177782,251687,2
177797,288225,3
177807,468624,31
177808,367531,3
177811,493324,4
177814,99561,2
177816,147772,4
177821,202507,2
177832,321910,4
177835,114867,5
177845,504914,4
177846,374873,2
177854,310340,1
177855,362947,3
177856,231025,3
177858,273104,4
177869,355161,3
177890,287873,2
177899,356106,3
177937,306718,2
177971,151063,2
177992,318510,2
178007,246384,5
178015,266147,3
178022,352940,1
178032,441205,6
178164,127375,3
178178,480253,5
178193,382693,1
178221,511827,3
178343,359507,2
178346,80075,7
178391,32832,1
178529,173566,2
178544,302912,3
178546,457685,2
178547,172116,2
178554,246837,3
178555,358765,3
178556,246842,3
178558,246834,2
178563,246835,3
178564,284469,3
179548,316084,1
179688,379121,5
179691,104740,2
179692,269082,4
179695,511933,8
179753,313466,5
179782,304849,3
179800,496354,7
179822,251505,3
179830,199170,5
179871,43474,1
179897,409704,5
179907,373296,4
179946,321805,5
179959,155278,4
179966,504853,5
179967,58848,7
179973,55931,2
179975,71873,7
179976,65483,8
179977,236354,20
179978,509971,18
179984,222568,1
179991,271034,6
180086,402725,11
180090,198547,4
180097,328614,3
180101,319017,2
180104,462559,1
180126,313357,7
180142,327778,2
180236,419633,10
180279,401712,10
180336,318784,7
180360,392522,4
180372,275551,7
180386,188653,1
180417,292706,2
180573,132566,6
182247,270579,4
182252,157184,10
182659,270292,1
182660,111167,2
182661,225318,4
182679,355508,8
182746,342050,4
182770,347103,4
182771,190889,3
182782,57017,5
182832,424639,4
182852,68068,5
183012,246690,1
183025,292889,1
183026,60693,2
183027,184631,1
183030,385302,1
183037,280127,4
183130,412565,2
183131,349219,5
183132,423600,2
183137,146191,3
183639,15666,5
183673,114942,4
183810,173868,4
183902,228424,4
184011,284312,2
184327,252801,3
184333,13021,7
184334,245769,4
184335,277938,3
184336,379813,3
184337,206053,4
184338,34066,2
184339,96271,4
184362,204100,3
184411,29674,5
184472,147530,4
184481,377956,2
184488,113834,4
184489,217396,3
184499,424136,3
184524,113058,3
184573,324268,3
184575,457383,1
184590,224777,2
184683,286666,3
184969,428320,5
185001,8533,3
185002,147745,2
185186,15961,3
185212,481784,5
185213,482973,6
186299,305756,2
186351,8442,1
186354,346967,5
186355,379033,3
186375,469728,3
186378,228135,5
186385,378321,4
186398,262969,3
186418,255082,2
186562,346145,3
186627,421235,11
186767,315679,2
186937,437520,14
187081,160184,7
187211,362496,9
187285,322419,4
187353,120804,10
187544,122882,2
187562,262236,1
187641,264932,3
187680,338293,4
187723,231666,5
187754,116563,6
187791,328457,2
187860,218992,3
187870,196551,2
187872,312212,1
187977,80058,5
188249,310818,2
188250,310813,3
188251,310371,2
188253,302369,2
188288,186470,6
188296,474794,4
188297,263563,3
188298,295469,3
188299,92836,2
188304,444261,5
188327,379166,5
188330,213194,3
188391,274360,3
